Product,First_Transaction,Last_Transaction,Total_Transactions,Active_Transactions,Days_Since_Last,Days_Active,Transaction_Frequency,ClosingBalance,AgeNumeric
AB312683,2025-11-25,2025-11-25,2,2,1,1,2.0,30.0,0.5
AB320732,2025-11-25,2025-11-25,2,2,1,1,2.0,100.0,0.5
AB61299,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
AB61319,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
AB61350,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
AB89181,2025-11-25,2025-11-25,2,2,1,1,2.0,50.0,0.5
AD04650,2025-11-25,2025-11-25,2,2,1,1,2.0,6.0,0.5
AD10117,2025-11-25,2025-11-25,2,2,1,1,2.0,6.0,0.5
AD11740,2025-11-25,2025-11-25,2,2,1,1,2.0,12.0,0.5
ADPQ15,2025-11-25,2025-11-25,2,2,1,1,2.0,40.0,0.5
ADSG0207,2025-11-25,2025-11-25,2,2,1,1,2.0,24.0,0.5
ADSTB1,2025-11-25,2025-11-25,2,2,1,1,2.0,12.0,0.5
AP2608579434,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
AP2608601709,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
AP2609255453,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
AP2609390576,2025-11-25,2025-11-25,2,2,1,1,2.0,4.0,0.5
APDR10025,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
APECHS122501,2025-11-25,2025-11-25,2,2,1,1,2.0,3.0,0.5
AU2DB01D,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
AU3W459,2025-11-25,2025-11-25,2,2,1,1,2.0,6.0,0.5
AUCC45,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
AUG207MBP,2025-11-25,2025-11-25,2,2,1,1,2.0,20.0,0.5
AUJW200,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
AULH5153,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
AUMA9501,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
AUW521,2025-11-25,2025-11-25,2,2,1,1,2.0,12.0,0.5
BA066ZMSHORT,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
BA203178,2025-11-25,2025-11-25,2,2,1,1,2.0,20.0,0.5
BA203566,2025-11-25,2025-11-25,2,2,1,1,2.0,30.0,0.5
BA205409,2025-11-25,2025-11-25,2,2,1,1,2.0,20.0,0.5
BA211116,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
BA211139,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
BA3141,2025-11-25,2025-11-25,2,2,1,1,2.0,4.0,0.5
BA9240700,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
BAKLP4503,2025-11-25,2025-11-25,2,2,1,1,2.0,4.0,0.5
BAKLP4560,2025-11-25,2025-11-25,2,2,1,1,2.0,12.0,0.5
BAPEX128W,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
BGRSDB,2025-11-25,2025-11-25,2,2,1,1,2.0,14.0,0.5
BLCPR05,2025-11-25,2025-11-25,2,2,1,1,2.0,12.0,0.5
BLFH70100,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
BLHS364,2025-11-25,2025-11-25,2,2,1,1,2.0,30.0,0.5
BRIGV13425,2025-11-25,2025-11-25,2,2,1,1,2.0,27.0,0.5
BRIL294,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
BRIW09,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
BTWTWH0038,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
BW4044,2025-11-25,2025-11-25,2,2,1,1,2.0,36.0,0.5
BW950817,2025-11-25,2025-11-25,2,2,1,1,2.0,6.0,0.5
CA3301,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
CATPDG1025,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
CCPD,2025-11-25,2025-11-25,2,2,1,1,2.0,3.0,0.5
CDD16000046,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
CH08032BB,2025-11-25,2025-11-25,2,2,1,1,2.0,4.0,0.5
CH11052363,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
CH1826,2025-11-25,2025-11-25,2,2,1,1,2.0,6.0,0.5
CH5050,2025-11-25,2025-11-25,2,2,1,1,2.0,12.0,0.5
CH8108,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
CH8577,2025-11-25,2025-11-25,2,2,1,1,2.0,6.0,0.5
CHBBSB75,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
CHCHC100,2025-11-25,2025-11-25,2,2,1,1,2.0,30.0,0.5
CHHPDS12,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
CHPPMSSCSK0412,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
CHPPPCW1,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
CHPPPZ2501,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
CHPPSTPH1213,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
CHPPSTPH1230,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
CHPPTACK019,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
CHPPXOX12030,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
CHRF25S,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
CHSB200250,2025-11-25,2025-11-25,2,2,1,1,2.0,13.0,0.5
CHSB250300,2025-11-25,2025-11-25,2,2,1,1,2.0,20.0,0.5
CHTB10,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
CHTB16,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
CHTB6,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
CS210165,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
CS210201,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
CSBPAWH,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
CTCR016,2025-11-25,2025-11-25,2,2,1,1,2.0,132.0,0.5
CTFDJ6491,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
CTFTSP0056,2025-11-25,2025-11-25,2,2,1,1,2.0,6.0,0.5
CTOCW21MIA,2025-11-25,2025-11-25,2,2,1,1,2.0,40.0,0.5
DDCDD1641528,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
DDCDD28380,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
DDCDD5142016,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
DDCDD651216,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
DDCDDALUFW03,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
DF2DAS,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
DFSD3LRH,2025-11-25,2025-11-25,2,2,1,1,2.0,8.0,0.5
DSTOOKWE,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
EL30191,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
EL30832,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
EL31594,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
EL32917,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
EL43364,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
EL49481,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
EL93455,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
EL94187,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELB58W,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELBLT16,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELC348,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELCAC10,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELCAC8,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
ELCT0006,2025-11-25,2025-11-25,2,2,1,1,2.0,77.0,0.5
ELDFV7002,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELDM124BN,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
ELEA170,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELFLNH500125,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
ELG526,2025-11-25,2025-11-25,2,2,1,1,2.0,3.0,0.5
ELG958,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELHDPZ50M20,2025-11-25,2025-11-25,2,2,1,1,2.0,8.0,0.5
ELHDR3S9350,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELHDY3405275,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
ELHJXF1008030B,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELHLAY5BL8425,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
ELHM0315,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELHTNDC5HB230,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELLDR63E2712WW,2025-11-25,2025-11-25,2,2,1,1,2.0,20.0,0.5
ELLEDTIX502,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELLILDBA022,2025-11-25,2025-11-25,2,2,1,1,2.0,36.0,0.5
ELLTGCLD242,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
ELLVC37B154WW,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
ELLVT120B2240CW,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
ELLVT120E2740DL,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
ELLW83155,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELLW90015,2025-11-25,2025-11-25,2,2,1,1,2.0,3.0,0.5
ELLW92596,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELLW93456,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELMQ8551,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELMQ8556,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELO8B,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELPRPK16,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELPRPK5,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELPX184265,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
ELPX861615,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
ELRT33,2025-11-25,2025-11-25,2,2,1,1,2.0,9.0,0.5
ELRW115,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELRW143,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELS21SC,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELS23SC,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELS23W,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELS315SC,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELSW404C,2025-11-25,2025-11-25,2,2,1,1,2.0,200.0,0.5
ELT82DA,2025-11-25,2025-11-25,2,2,1,1,2.0,11.0,0.5
ELT82DP,2025-11-25,2025-11-25,2,2,1,1,2.0,3.0,0.5
ELT82S,2025-11-25,2025-11-25,2,2,1,1,2.0,20.0,0.5
ELT84D65,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
ELT84S,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
ELT85S,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
ELTP1640,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
ELV306,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
ELV4052U24,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
ELY402,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
FAEMXS5542,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
G3300325,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
G3300330,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
GA25PP,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
GA95VP66E,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
GABA015000,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
GACART04,2025-11-25,2025-11-25,2,2,1,1,2.0,4.0,0.5
GACP110G,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
GACP155,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
GACQ11771,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
GACRL,2025-11-25,2025-11-25,2,2,1,1,2.0,6.0,0.5
GACRS,2025-11-25,2025-11-25,2,2,1,1,2.0,3.0,0.5
GACT004,2025-11-25,2025-11-25,2,2,1,1,2.0,30.0,0.5
GADFM5786,2025-11-25,2025-11-25,2,2,1,1,2.0,6.0,0.5
GAEPSR760803,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
GAPFD,2025-11-25,2025-11-25,2,2,1,1,2.0,36.0,0.5
GASC6575,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
GASEBFM454032,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
GASPI6,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
GASTB002T,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
GAW60144,2025-11-25,2025-11-25,2,2,1,1,2.0,12.0,0.5
GFHB50,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
GLBFLE,2025-11-25,2025-11-25,2,2,1,1,2.0,60.0,0.5
GLBRAT,2025-11-25,2025-11-25,2,2,1,1,2.0,36.0,0.5
GLSB5SM,2025-11-25,2025-11-25,2,2,1,1,2.0,218.79,0.5
GUBBDSGB,2025-11-25,2025-11-25,2,2,1,1,2.0,600.0,0.5
GWE11,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
HTESDSL6150,2025-11-25,2025-11-25,2,2,1,1,2.0,22.0,0.5
HW00033170,2025-11-25,2025-11-25,2,2,1,1,2.0,200.0,0.5
HW00033194,2025-11-25,2025-11-25,2,2,1,1,2.0,100.0,0.5
HW22153,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
HW9110,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
