Product,First_Transaction,Last_Transaction,Total_Transactions,Active_Transactions,Days_Since_Last,Days_Active,Transaction_Frequency,ClosingBalance,AgeNumeric
ADWGM6701,2025-11-25,2025-11-26,4,4,0,2,2.0,24.0,0.5
AG15200724,2025-11-26,2025-11-26,2,2,0,1,2.0,6.0,0.5
AG303036PH,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
AG303044PH500G,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
AGKSAS300,2025-11-25,2025-11-26,4,4,0,2,2.0,50.0,0.5
AGLSUL150,2025-11-26,2025-11-26,2,2,0,1,2.0,10.0,0.5
AGPAN5310K,2025-11-25,2025-11-26,4,4,0,2,2.0,50.0,0.5
AGPAN5320K,2025-11-25,2025-11-26,4,4,0,2,2.0,25.0,0.5
AP2607001558,2025-11-25,2025-11-26,4,4,0,2,2.0,3.0,0.5
AP2608577159,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
AP2608577162,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
AP2608577171,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
AP2608577176,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
AP2608577349,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
AP2608596050,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
AP2608601708,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
AP2609256217,2025-11-25,2025-11-26,4,4,0,2,2.0,4.0,0.5
AP592400060,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
APALP11718,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
APALP87712,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
APDBDB2,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
APDR83160,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
APERSB611D,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
APETDB130551,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
APPH0225C,2025-11-26,2025-11-26,2,2,0,1,2.0,10.0,0.5
APTC12044,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
APTCWCR12514,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
AUCT1747,2025-11-25,2025-11-26,4,4,0,2,2.0,12.0,0.5
AUF92211,2025-11-25,2025-11-26,4,4,0,2,2.0,8.0,0.5
AUFZ24006,2025-11-26,2025-11-26,2,2,0,1,2.0,4.0,0.5
AULH51,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
AUVIG20LTR,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BA3169,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
BABPR40,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
BAKLP6024,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
BAPEX8604W,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BASPP002PP,2025-11-26,2025-11-26,2,2,0,1,2.0,4.0,0.5
BGCD36,2025-11-26,2025-11-26,2,2,0,1,2.0,11.0,0.5
BL6602035,2025-11-26,2025-11-26,2,2,0,1,2.0,3.0,0.5
BL6602038,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
BL9305035,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
BL9305038,2025-11-26,2025-11-26,2,2,0,1,2.0,6.0,0.5
BLCP,2025-11-26,2025-11-26,2,2,0,1,2.0,20000.0,0.5
BLCRFUGEBP750ML,2025-11-26,2025-11-26,2,2,0,1,2.0,46.0,0.5
BLFH06005,2025-11-25,2025-11-26,4,4,0,2,2.0,3.0,0.5
BLFH10200,2025-11-26,2025-11-26,2,2,0,1,2.0,6.0,0.5
BLFH2109089,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
BRI102420,2025-11-26,2025-11-26,2,2,0,1,2.0,578.0,0.5
BRI71715,2025-11-26,2025-11-26,2,2,0,1,2.0,2727.0,0.5
BRI767048,2025-11-26,2025-11-26,2,2,0,1,2.0,170.0,0.5
BRI796048,2025-11-26,2025-11-26,2,2,0,1,2.0,306.0,0.5
BRIA030SQ,2025-11-26,2025-11-26,2,2,0,1,2.0,118.0,0.5
BRIAK951,2025-11-26,2025-11-26,2,2,0,1,2.0,384.0,0.5
BRIAL851,2025-11-26,2025-11-26,2,2,0,1,2.0,324.0,0.5
BRICH951,2025-11-26,2025-11-26,2,2,0,1,2.0,108.0,0.5
BRID71715,2025-11-26,2025-11-26,2,2,0,1,2.0,109.0,0.5
BRID72815,2025-11-25,2025-11-26,4,4,0,2,2.0,192.0,0.5
BRIE047,2025-11-26,2025-11-26,2,2,0,1,2.0,132.0,0.5
BRIE12PR,2025-11-26,2025-11-26,2,2,0,1,2.0,440.0,0.5
BRIE29RB,2025-11-26,2025-11-26,2,2,0,1,2.0,150.0,0.5
BRIEOR32,2025-11-26,2025-11-26,2,2,0,1,2.0,10.0,0.5
BRIHL956,2025-11-25,2025-11-26,4,4,0,2,2.0,384.0,0.5
BRIJ6502,2025-11-26,2025-11-26,2,2,0,1,2.0,199.0,0.5
BRIJMADAPTOR,2025-11-26,2025-11-26,2,2,0,1,2.0,16.0,0.5
BRIL719048,2025-11-26,2025-11-26,2,2,0,1,2.0,216.0,0.5
BRIMA951,2025-11-25,2025-11-26,4,4,0,2,2.0,33.0,0.5
BRIMA956,2025-11-26,2025-11-26,2,2,0,1,2.0,192.0,0.5
BRIMA959,2025-11-26,2025-11-26,2,2,0,1,2.0,72.0,0.5
BRIS0200R,2025-11-25,2025-11-26,4,4,0,2,2.0,15.0,0.5
BRIS0985,2025-11-26,2025-11-26,2,2,0,1,2.0,216.0,0.5
BRIS200SQBL,2025-11-26,2025-11-26,2,2,0,1,2.0,240.0,0.5
BRIS250SQ,2025-11-26,2025-11-26,2,2,0,1,2.0,120.0,0.5
BRITB856,2025-11-26,2025-11-26,2,2,0,1,2.0,432.0,0.5
BRITB861,2025-11-26,2025-11-26,2,2,0,1,2.0,44.0,0.5
BRIV766048,2025-11-26,2025-11-26,2,2,0,1,2.0,204.0,0.5
BRIWO065,2025-11-26,2025-11-26,2,2,0,1,2.0,216.0,0.5
BRIWO2202,2025-11-26,2025-11-26,2,2,0,1,2.0,52.0,0.5
BRVHAB,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
BS8016382,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BTEMQB1375,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
BTWTWH0008,2025-11-26,2025-11-26,2,2,0,1,2.0,7.0,0.5
BTWTWH0015,2025-11-25,2025-11-26,4,4,0,2,2.0,15.0,0.5
BW9518,2025-11-26,2025-11-26,2,2,0,1,2.0,6.0,0.5
BYO018,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BYO029,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BYO031,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BYO0472,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BYO055,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BYO1016,2025-11-26,2025-11-26,2,2,0,1,2.0,50.0,0.5
BYO1017,2025-11-26,2025-11-26,2,2,0,1,2.0,6.0,0.5
BYO1018,2025-11-26,2025-11-26,2,2,0,1,2.0,8.0,0.5
BYO1019,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BYO109,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BYO110,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BYOAWP,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
BYOREC16,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
BYOREC4,2025-11-25,2025-11-26,4,4,0,2,2.0,444.0,0.5
CAQSET6HR,2025-11-26,2025-11-26,2,2,0,1,2.0,4.0,0.5
CATS4,2025-11-26,2025-11-26,2,2,0,1,2.0,10.0,0.5
CATTARND12,2025-11-26,2025-11-26,2,2,0,1,2.0,4.0,0.5
CATTDG1225,2025-11-26,2025-11-26,2,2,0,1,2.0,10.0,0.5
CDD16000045,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
CEDMD32GWE,2025-11-25,2025-11-26,4,4,0,2,2.0,19.0,0.5
CEUPC15BYORTGS1,2025-11-26,2025-11-26,2,2,0,1,2.0,1800.0,0.5
CH11054381,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
CHBHBP100,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHCS10075ZJ,2025-11-26,2025-11-26,2,2,0,1,2.0,6.0,0.5
CHDS8,2025-11-26,2025-11-26,2,2,0,1,2.0,9.0,0.5
CHHPBH10025,2025-11-26,2025-11-26,2,2,0,1,2.0,15.0,0.5
CHHPDS10,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHHPSH08,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
CHLCBPN7,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
CHPPCHB0625,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
CHPPCHB0650,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHPPCHB0850,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHPPCHB1040,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
CHPPCOS10075,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHPPFEW12,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHPPGN20,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHPPMSSCSK0550,2025-11-26,2025-11-26,2,2,0,1,2.0,10.0,0.5
CHPPMSSCSK0650,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
CHPPSTPH0813,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHPPSTPH1219,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHPPSTPH1225,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHPPWSS1060,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHPPXOX06100,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHPPXOX10025,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
CHSB300350,2025-11-25,2025-11-26,4,4,0,2,2.0,27.0,0.5
CHSVBCHB0630,2025-11-26,2025-11-26,2,2,0,1,2.0,6.0,0.5
CHTB8,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHVAR4018,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CHVBNIA645,2025-11-26,2025-11-26,2,2,0,1,2.0,3.0,0.5
CHVPGTB0675,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CO22275,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
COTR203008,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
CSLCSSCSC,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
CTPPA33R02A,2025-11-26,2025-11-26,2,2,0,1,2.0,72.0,0.5
CTPY61003,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
CTPY61043,2025-11-26,2025-11-26,2,2,0,1,2.0,15.0,0.5
CTPY61056,2025-11-26,2025-11-26,2,2,0,1,2.0,77.0,0.5
CTYGC61002,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
DF16259PBSTD,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
EL19MA,2025-11-26,2025-11-26,2,2,0,1,2.0,20.0,0.5
EL90978,2025-11-26,2025-11-26,2,2,0,1,2.0,3.0,0.5
EL92563,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
EL98682,2025-11-26,2025-11-26,2,2,0,1,2.0,3.0,0.5
ELB59B,2025-11-25,2025-11-26,4,4,0,2,2.0,12.0,0.5
ELBLBCAX,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
ELCF0005,2025-11-25,2025-11-26,4,4,0,2,2.0,20.0,0.5
ELDFV1004,2025-11-26,2025-11-26,2,2,0,1,2.0,10.0,0.5
ELDFV6030,2025-11-26,2025-11-26,2,2,0,1,2.0,4.0,0.5
ELETPL210003,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
ELF109,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
ELF37W,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
ELGKSF301,2025-11-25,2025-11-26,4,4,0,2,2.0,4.0,0.5
ELH199,2025-11-26,2025-11-26,2,2,0,1,2.0,12.0,0.5
ELHDPZ50M12,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
ELHDR3S9340,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
ELHF422,2025-11-26,2025-11-26,2,2,0,1,2.0,12.0,0.5
ELLIFDLD150,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
ELNEC2016,2025-11-26,2025-11-26,2,2,0,1,2.0,300.0,0.5
ELNEC2025,2025-11-26,2025-11-26,2,2,0,1,2.0,125.0,0.5
ELNEC2032ZA,2025-11-26,2025-11-26,2,2,0,1,2.0,280.0,0.5
ELNEC2452ZA,2025-11-26,2025-11-26,2,2,0,1,2.0,280.0,0.5
ELNEL002,2025-11-26,2025-11-26,2,2,0,1,2.0,120.0,0.5
ELNEM106,2025-11-26,2025-11-26,2,2,0,1,2.0,240.0,0.5
ELNEM202,2025-11-26,2025-11-26,2,2,0,1,2.0,120.0,0.5
ELNEM302,2025-11-26,2025-11-26,2,2,0,1,2.0,120.0,0.5
ELNEM401,2025-11-26,2025-11-26,2,2,0,1,2.0,120.0,0.5
ELNES027,2025-11-26,2025-11-26,2,2,0,1,2.0,240.0,0.5
ELPX183355,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
ELS316SC,2025-11-26,2025-11-26,2,2,0,1,2.0,4.0,0.5
ELV405,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
ELXFRPI1518,2025-11-26,2025-11-26,2,2,0,1,2.0,3.0,0.5
ELXFRPI2218,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
FAEMXS4516,2025-11-25,2025-11-26,4,4,0,2,2.0,3.0,0.5
FAS065ZP100,2025-11-25,2025-11-26,4,4,0,2,2.0,18.0,0.5
FAS11021680,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
FAS11033331,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
FEDM1825,2025-11-25,2025-11-26,4,4,0,2,2.0,3.0,0.5
FESGB2550,2025-11-25,2025-11-26,4,4,0,2,2.0,6.0,0.5
G3300327,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
G3301155,2025-11-26,2025-11-26,2,2,0,1,2.0,567.0,0.5
GA0901500020,2025-11-26,2025-11-26,2,2,0,1,2.0,3.0,0.5
GA1102100020,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
GA36035P,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
GA503443201,2025-11-26,2025-11-26,2,2,0,1,2.0,8.0,0.5
GA578438101,2025-11-25,2025-11-26,4,4,0,2,2.0,32.0,0.5
GA580200,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
GA93921023,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
GAAQ260040,2025-11-26,2025-11-26,2,2,0,1,2.0,4.0,0.5
GAAQ340283,2025-11-26,2025-11-26,2,2,0,1,2.0,3.0,0.5
GAAQ550180,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
GACOIR02,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
GACP006T,2025-11-26,2025-11-26,2,2,0,1,2.0,30.0,0.5
GACP100T,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
GACRF800,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
GAECSB6121,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
GAELGA20128,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
GAELMR20018,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
GAFDBSSL,2025-11-26,2025-11-26,2,2,0,1,2.0,31.5,0.5
GAGA0112520,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
GAKG100200,2025-11-25,2025-11-26,4,4,0,2,2.0,30.0,0.5
GAKG100250,2025-11-25,2025-11-26,4,4,0,2,2.0,80.0,0.5
GALA103000,2025-11-26,2025-11-26,2,2,0,1,2.0,192.0,0.5
GAPWL20,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
GASC51310,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
GASEBFM457436,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
GBDB05,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
GBEG11,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
GBGSC07,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
GFHB15,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
GFRS5025,2025-11-26,2025-11-26,2,2,0,1,2.0,12.0,0.5
GFTR2015,2025-11-26,2025-11-26,2,2,0,1,2.0,15.0,0.5
GL4OBWPM,2025-11-25,2025-11-26,4,4,0,2,2.0,1.48,0.5
GUBBFIA90,2025-11-26,2025-11-26,2,2,0,1,2.0,9.0,0.5
GUBBFIA92,2025-11-26,2025-11-26,2,2,0,1,2.0,7.0,0.5
HATA15CLR,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
HATA15GREY,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
HTEHASMB3001,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
HTESCT12131,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
HW15BBS,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
HWCSS1000,2025-11-25,2025-11-26,4,4,0,2,2.0,12.0,0.5
HWD9108,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
HWMCBL,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
LTFG10080,2025-11-26,2025-11-26,2,2,0,1,2.0,10.0,0.5
LTFG10204,2025-11-25,2025-11-26,4,4,0,2,2.0,4.0,0.5
LTFG72950,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
LTFG73654,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
MSEB013,2025-11-26,2025-11-26,2,2,0,1,2.0,32.0,0.5
NAS100,2025-11-25,2025-11-26,4,4,0,2,2.0,50.0,0.5
NB8120HB1,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
NBBN12100,2025-11-25,2025-11-26,4,4,0,2,2.0,1500.0,0.5
OD3390RB2XL,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
OGHE34C1500,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
OGSOLP100,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
OP731A40,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
OPAPYE,2025-11-26,2025-11-26,2,2,0,1,2.0,70.0,0.5
OSDJA075,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
OSFD16DF,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
OSGFS925,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
OTDURO5,2025-11-26,2025-11-26,2,2,0,1,2.0,11.0,0.5
OTTV9366,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
OUB11311,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
OUB1248,2025-11-25,2025-11-26,4,4,0,2,2.0,12.0,0.5
OURK140008,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
OURK870002,2025-11-25,2025-11-26,4,4,0,2,2.0,3.0,0.5
PADARGRR20,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
PADBTHPW1,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PADBW71,2025-11-25,2025-11-26,4,4,0,2,2.0,4.0,0.5
PADFIBL500,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PADGEGY1,2025-11-26,2025-11-26,2,2,0,1,2.0,3.0,0.5
PADGEI1,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
PADGLGT5,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PADGLMG1,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
PADPPVAW20,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
PADQDEBG5,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
PADRGBL20,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
PADRGUWH1,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PADROCW20,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PADROP5,2025-11-25,2025-11-26,4,4,0,2,2.0,13.0,0.5
PADRR5,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
PADUWLT25,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
PADUWLT620,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
PADUWLT65,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
PADUWLT75,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
PADUWTESTSG,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
PADUWW20,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PADWLT120,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
PADWLT220,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
PADWLT320,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
PADWLT620,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
PADWTESTDCL,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
PADWTESTNIV,2025-11-26,2025-11-26,2,2,0,1,2.0,4.0,0.5
PADWTESTTGY,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
PADWWB20LT,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
PADWWSW1,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PAEWB0000020001,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PAEWB0000020005,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
PAPB00000010001,2025-11-25,2025-11-26,4,4,0,2,2.0,4.0,0.5
PAPH00000010001,2025-11-26,2025-11-26,2,2,0,1,2.0,4.0,0.5
PAPI00000010001,2025-11-25,2025-11-26,4,4,0,2,2.0,7.0,0.5
PAPJ00000010001,2025-11-26,2025-11-26,2,2,0,1,2.0,6.0,0.5
PAPK00000010001,2025-11-25,2025-11-26,4,4,0,2,2.0,7.0,0.5
PAPQ00000010001,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
PAPTDHY,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
PAPTDML,2025-11-26,2025-11-26,2,2,0,1,2.0,7.0,0.5
PAPTDRG,2025-11-26,2025-11-26,2,2,0,1,2.0,5.0,0.5
PAPV00000010001,2025-11-26,2025-11-26,2,2,0,1,2.0,2.0,0.5
PASCYEGD,2025-11-25,2025-11-26,4,4,0,2,2.0,12.0,0.5
PASNOWDB,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PATAP0010100001,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
PATAP0010100005,2025-11-25,2025-11-26,4,4,0,2,2.0,5.0,0.5
PATCA0020000001,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
PATSE0010000001,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
PATSE0020000005,2025-11-25,2025-11-26,4,4,0,2,2.0,10.0,0.5
PATVW0030000001,2025-11-25,2025-11-26,4,4,0,2,2.0,8.0,0.5
PATWA0010000005,2025-11-25,2025-11-26,4,4,0,2,2.0,2.0,0.5
PAWAA0000010005,2025-11-25,2025-11-26,4,4,0,2,2.0,3.0,0.5
PFHC20,2025-11-26,2025-11-26,2,2,0,1,2.0,29.0,0.5
PFHC4032R,2025-11-25,2025-11-26,4,4,0,2,2.0,16.0,0.5
PFHC75,2025-11-26,2025-11-26,2,2,0,1,2.0,9.0,0.5
PFPAF4040,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PFPAM2020,2025-11-25,2025-11-26,4,4,0,2,2.0,100.0,0.5
PFPNTM50,2025-11-26,2025-11-26,2,2,0,1,2.0,9.0,0.5
PFPTT20,2025-11-26,2025-11-26,2,2,0,1,2.0,20.0,0.5
PFPTT40,2025-11-26,2025-11-26,2,2,0,1,2.0,20.0,0.5
PFWPC110,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PGDSG505,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PLDHCFY,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PLDHGA,2025-11-25,2025-11-26,4,4,0,2,2.0,9.0,0.5
PM30011257,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PM30616,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PM4SD621,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PM4SDM310PUMPKIT,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PM4SDM616,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PMABSH5,2025-11-26,2025-11-26,2,2,0,1,2.0,52.5,0.5
PPP63CL16,2025-11-26,2025-11-26,2,2,0,1,2.0,10.0,0.5
PT1180250,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PTEHGN20021,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PTELAG271532,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PTELCS1851,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PTELGA40168,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
PTELGT20328,2025-11-26,2025-11-26,2,2,0,1,2.0,4.0,0.5
PTELRH20288,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
PTHID550,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
RC5922PVCYELLXL,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
REUSE0492,2025-11-25,2025-11-26,4,4,0,2,2.0,82.0,0.5
RFNF1036,2025-11-25,2025-11-26,4,4,0,2,2.0,500.0,0.5
RLS3824WH,2025-11-26,2025-11-26,2,2,0,1,2.0,66.0,0.5
RSPCCRR24GR,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
RTTTT22,2025-11-25,2025-11-26,4,4,0,2,2.0,1.0,0.5
SC1300650013,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
SCM100,2025-11-26,2025-11-26,2,2,0,1,2.0,1.0,0.5
